Artists,Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Date,Genre,Writing.Credits,Lyrics,Features
Sugar Ray,Someday,20,20.0,6.0,1999-08-02,,Rock,Sugar ray,"Someday 
Someday, when my life has passed me by
I'll lay around and wonder why, you were always there for me
One way, in the eyes of a passer by
I'll look around for another try and they'll fade away
Just close your eyes and I'll take you there
This place is warm and without a care
We'll take a swim in the deep blue sea
I go to leave as you reach for me
Some say, better things will come our way
No matter what they try to say, you were always there for me
Some way, when the sun begins to shine
I hear a song from another time and they fade away
And fade they away
Just close your eyes and I'll take you there
This place is warm and without a care
We'll take a swim in the deep blue sea
I go to leave as you reach for me
Someone said we tried too long Someday will pass me by
Someone said we got it all wrong Someday, I wonder why
Someone said we tried too long Someday will pass me by
Is there a place where I belong? Someday will
So far
So long
So far away
So far
So wrong
So far away away away
Someday, when my life has passed me by
I'll lay around and wonder why, you were always there for me
One way, in the eyes of a passer by
I'll look around for another try and they'll fade away
And they fade away repeats many times until it fades out
",
Ginuwine,So Anxious,18,18.0,5.0,1999-08-09,,"Soul,Neo Soul,R&;B,Rap","Timbaland, Static major, Benjamin bush","So Anxious 
Nine o' clock, home alone, paging you
Wishing you'd come over, my place, after while, let me know
We can just keep talking bout the last time, you were here
What we did no sleep till morning
Only bubble baths and back rubs
Hit me back, girl I hope, you hurry cause
I'm so anxious
So meet me at 11:30, I love the way you're talking dirty
Said, I'm so anxious
Girl could you quit this stallin', you know I'm a sexaholic
It's 10:10, where you been?
Did you get my message?
Your expression is telling me that you've been thinking the same thang
The same thang I've been thinkin'
You say you're working, well hit me just as soon as your shift, is over
And I'll be waiting, cause I can't sleep for reminiscing
About you and what we do, Hit me back and hope you hurry
I'm so anxious
So meet me at 11:30, I love the way you're talking dirty
Said, I'm so anxious
Girl could you quit this stallin', you know I'm a sexaholic
I'm so anxious
So meet me at 11:30, I love the way you're talking dirty
Said, I'm so anxious
Girl could you quit this stallin', you know I'm a sexaholic
Said as soon as you hit the door, I'mma pull you down on the floor
And before we get to touch the bed, Baby back up every word you said
And before we, got to hit the lights
And before we start the cande lights
Baby girl, I wanna bump and grind
This is something that's been on my mind
I'm so anxious
So meet me at 11:30, I love the way you're talking dirty
Said, I'm so anxious
Girl could you quit this stallin', you know I'm a sexaholic
I'm so anxious
So meet me at 11:30, I love the way you're talking dirty
Said, I'm so anxious
Girl could you quit this stallin', you know I'm a sexaholic
",
Tal Bachman,She's So High,19,19.0,9.0,1999-08-09,,Rock,Tal bachman,"She's So High 
She's blood, flesh, and bone, no tucks or silicone
She's touch, smell, sight, taste, and sound
But somehow I can't believe that anything should happen
I know where I belong and nothing's gonna happen, yeah
'Cause, she's so high, high above me
She's so lovely
She's so high, like Cleopatra, Joan of Arc, or Aphrodite
Oo-oo-oo-oo
She's so high, high above me
First class and fancy-free, she's high society
She's got the best of everything
What could a guy like me ever really offer?
She's perfect as she can be, why should I even bother?
A-hah
'Cause, she's so high, high above me
She's so lovely
She's so high, like Cleopatra, Joan of Arc, or Aphrodite
Oo-oo-oo-oo
She's so high, high above me
She comes to speak to me
I freeze immediately
'Cause what she says sounds so unreal
'Cause somehow I can't believe that anything should happen
I know where I belong and nothings gonna happen
'Cause, she's so high, high above me
She's so lovely
She's so high, like Cleopatra, Joan of Arc, or Aphrodite
Oo-oo-oo-oo
She's so high, high above me
",
Red Hot Chili Peppers,Scar Tissue,20,20.0,12.0,1999-08-16,,"Blues Rock,Adult Alternative,Funk Rock,Alternative Rock,Rock","Chad smith, John frusciante, Flea, Anthony kiedis","Scar Tissue 
Scar tissue that I wish you saw
Sarcastic mister know-it-all
Close your eyes and I'll kiss you
'Cause with the birds I'll share
With the birds I'll share this lonely viewin'
With the birds I'll share this lonely viewin'
Push me up against the wall
Young Kentucky girl in a push-up bra
Ah, falling all over myself
To lick your heart and taste your health, cause
With the birds I'll share this lonely viewin'
With the birds I'll share this lonely viewin'
With the birds I'll share this lonely view
Blood loss in a bathroom stall
A southern girl with a scarlet drawl
Wave good-bye to Ma and Pa
'Cause with the birds I'll share
With the birds I'll share this lonely viewin'
With the birds I'll share this lonely viewin'
Soft spoken with a broken jaw
Step outside but not to brawl and
Autumn's sweet we call it fall
I'll make it to the moon if I have to crawl and
With the birds I'll share this lonely viewin'
With the birds I'll share this lonely viewin'
With the birds I'll share this lonely view
Scar tissue that I wish you saw
Sarcastic mister know-it-all
Close your eyes and I'll kiss you
'Cause with the birds I'll share
With the birds I'll share this lonely viewin'
With the birds I'll share this lonely viewin'
With the birds I'll share this lonely view
",
Tracie Spencer,It's All About You,18,18.0,2.0,1999-08-16,,Pop,,"It's All About You 
When we first met
Stole my heart away
Your love was incredible
Wonderful
Then you began to change
You used to make me feel special
Now all you do is make me cry
I gave you my everything baby
But all you gave me was lies
Chorus 2x
I, I try to be the one for baby, you you
Never was into nothin'
What I do, do
That's why Im leaving
'Cause it's all about you
And not about me
When we get in a fight
Im always the first to apologize
Even if it was you who did wrong
I never do enough to please you
That's why I can't go on
No matter what I do for you
Its never any good for you
You always got to complain
That's why I got to say
I can't stay
Chorus 2x
Selfish baby
Anything you want I do
I never understand how you
Could treat me bad and be so cruel
Youre begging me to come back to you
Baby I gave you all my love
But what I had was not enough
You turned around & broke my trust
Got the nerve to ask me
What about us?
Chorus to fade
",
Santana,Smooth,11,11.0,5.0,1999-08-23,,"Alternative Rock,Latin Pop,M\xc3\xa9xico,Latin Rock,Pop-Rock,Rock","Itaal shur, Rob thomas","Smooth 
Man, it's a hot one
Like seven inches from the midday sun
I hear you whisper and the words melt everyone
But you stay so cool
My munequita, my Spanish Harlem Mona Lisa
You're my reason for reason, the step in my groove
And if you say this life ain't good enough
I would give my world to lift you up
I could change my life to better suit your mood
Because you're so smooth
And it's just like the ocean under the moon
It's the same as the emotion that I get from you
You got the kind of loving that can be so smooth
Gimme your heart, make it real, or else forget about it
I'll tell you one thing
If you would leave it would be a crying shame
In every breath and every word
I hear your name calling me out
Out from the barrio, you hear my rhythm from your radio
You feel the turning of the world so soft and slow
Turning you round and round
And if you say this life ain't good enough
I would give my world to lift you up
I could change my life to better suit your mood
Because you're so smooth
And it's just like the ocean under the moon
It's the same as the emotion that I get from you
You got the kind of loving that can be so smooth
Gimme your heart, make it real, or else forget about it
And it's just like the ocean under the moon
It's the same as the emotion that I get from you
You got the kind of loving that can be so smooth
Gimme your heart, make it real, or else forget about it
Or else forget about it
Or else forget about it
Oh, let's don't forget about it
Gimme your heart, make it real
Let's don't forget about it hey
Let's don't forget about it no oh no oh
Let's don't forget about it no no no oh
Let's don't forget about it hey no no oh
Let's don't forget about it hey hey hey
",Rob Thomas
Vitamin C,Smile,18,18.0,7.0,1999-08-23,,"Jamaica,Pop","Colleen fitzpatrick, Josh deutsch","Smile 
Hahaha
Alright, yeah
Alright
First of all...
When you wake up in the evening and the day is shot
Find yourself complaining about the things you ain't got
Never goes just the way you want it to
Cliche of the day, c'est la vie"", that's just life
It ain't easy, it's so tough, it ain't easy
Whatcha gonna do, say, whatcha gonna do
Put a smile on your face
Make the world a better place
Put a smile on your face
Whatcha gonna do, say, whatcha gonna do
Put a smile on your face
Make the world a better place
Put a smile on your face
Whatcha gonna do, say, whatcha gonna do
And another thing
You can say that I'm a dreamer and you think it's uncool
Preaching about the better life I learned in school
But you get what you give in this life that we live
And all that you do will come back to you
Life Life, it ain't easy
It's so tough, Life
It ain't easy
Whatcha gonna do, say, whatcha gonna do
Put a smile on your face
Make the world a better place
Put a smile on your face
Whatcha gonna do, say, whatcha gonna do
Put a smile on your face
Make the world a better place
Put a smile on your face
Whatcha gonna do, say, whatcha gonna do
Yo
When things isn't right, there's not need to fight-a
From when you have life and everything nice-a
Love all your elders, please be polite
Even when you're hurting, don't forget to smile
Give love to all nation, big or small
When you do good, you'll get your reward
United we stand, divided we fall
Put a smile pon your face and greet one and all
Life, it ain't easy, oh it's so tough, it ain't easy
Whatcha gonna do, say, whatcha gonna do
Put a smile on your face
Make the world a better place
Put a smile on your face
Whatcha gonna do, say, whatcha gonna do
Put a smile on your face alright
Make the world a better place
Put a smile on your face
Whatcha gonna do, say, whatcha gonna do
Put a smile on your face oh yeah
Make the world a better place
Put a smile on your face
Whatcha gonna do, say, whatcha gonna do
Put a smile on your face c'mon smile!
Make the world a better place
Put a smile on your face oh yeah
Whatcha gonna do, say, whatcha gonna do
People love you when you smile
And hate you when you screw
Lots of happiness, rasta knows, we are wishing you
You coulda come from Jamaica or Honolulu, aye
Keep a smile on your face and see the good that you do
Wha' me say you fi do?!
Smile smile, and everything will be fine
You done know a the vibes smile it gives me inside
Love it when you smile, you look beautiful like that
Come again from top, haha
Your dimples are so cute, hahaha
I love the happiness, zeen!
Smile
",Lady Saw
TLC,Unpretty,4,4.0,11.0,1999-08-30,,"R&;B,Rap","T boz, Dallas austin","Unpretty 
I wish I could tie you up in my shoes
Make you feel unpretty too
I was told I was beautiful
But what does that mean to you?
Look into the mirror, who's inside there
The one with the long hair
Same old me again today, yeah
My outsides look cool
My insides are blue
Everytime I think I'm through
It's because of you
I try different ways
But it's all the same
At the end of the day
I have myself to blame
I'm just trippin'
You can buy your hair if it won't grow
You can fix your nose if he says so
You can buy all the make-up
That M.A.C can make, but if
You can't look inside you
Find out who am I to
Be in the position that make me feel
So damn unpretty
I'll make you feel unpretty too
Never insecure until I met you
Now I'm being stupid
I used to be so cute to me
Just a little bit skinny
Why do I look to all these things
To keep you happy?
Maybe get rid of you
And then I'll get back to me, yeah
My outsides look cool
My insides are blue
Everytime I think I'm through
It's because of you
I try different ways
But it's all the same
At the end of the day
I have myself to blame
Can't believe I'm trippin'
You can buy your hair if it won't grow
You can fix your nose if he says so
You can buy all the make-up
That M.A.C can make, but if
You can't look inside you
Find out who am I to
Be in the position that make me feel
So damn unpretty
You can buy your hair if it won't grow
You can fix your nose if he says so
You can buy all the make-up
That M.A.C can make, but if
You can't look inside you
Find out who am I to
Be in the position that make me feel
So damn unpretty
And make you feel unpretty too
And make you feel unpretty
Oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh
You can buy your hair if it won't grow
You can fix your nose if he says so
You can buy all the make-up
That M.A.C can make, but if
You can't look inside you
Find out who am I to
Be in the position that make me feel
So damn unpretty
You can buy your hair if it won't grow
Hahahaha
You can buy all the make-up
That M.A.C can make, but if
You can't look inside you
Be in the position that make me feel so
",
Fastball,Out Of My Head,20,20.0,10.0,1999-08-30,,Pop,Tony scalzo,"Out of My Head 
Sometimes I feel like I am drunk behind the wheel
The wheel of possibility, however it may roll
Give it a spin, see if it can somehow factor in
You know there's always more than one way
To say exactly what you mean to say
Was I out of my head?
Was I out of my mind?
How could I have ever been so blind?
I was waiting for an indication
It was hard to find
Don't matter what I say, only what I do
I never mean to do bad things to you
So quiet that I finally woke up
If you're sad then it's time you spoke up too
Was I out of my head?
Was I out of my mind?
How could I have ever been so blind?
I was waiting for an invitation
It was hard to find
Don't matter what I say, only what I do
I never mean to do bad things to you
So quiet but I finally woke up
If you're sad then it's time you spoke up too
",
Faith Evans,Never Gonna Let You Go,17,17.0,9.0,1999-08-30,,"Piano,Ballad,Soul,Soul Pop,R&;B,Pop","Damon thomas, Babyface","Never Gonna Let You Go 
If I had one wish, boy
I'd wish you next to me
And it could be in summer, fall, or spring, boy
'Cause you make my heart sing
I wanna give my heart, my soul, my love to you, oh baby, yeah
'Cause every day I'm not with you, I'm missing you like crazy
I need for you to love me love me
Hold me hold me
Touch me touch me
Down deep in my soul, I'll never let it go
'Cause the love we share; no one compares to you
I'll never let you go I'll never let you go
'Cause I really love you so
Oh I, I'll never let you go
Oh, no...no no no no
If you must know the truth boy, I'm nothing without you
It's funny how I know what people mean, boy
When it's too good to be true
Because you give me joy, good love, good times
Such happiness, oh yeah
And every day I thank the Lord for you
I feel so blessed
I need for you to love me love me
Hold me hold me
Touch me
Down deep in my soul, never let it go
'Cause the love we share; no one compares to you
I'll never let you go I'll never let you go
'Cause I really love you so
Oh, I love you so
I'll never let you go
Oh, no...no no no
If you only knew what you really do
Ain't ever have no one that does it quite like you do
You could spend half a lifetime trying to find one like you
That's why I am so glad I found you, baby
I wished upon a star and then it came true
Darlin'...
I need for you to love me love me
Hold me hold me
Touch me touch me
Down deep in my soul, I'll never let it go
'Cause the love we share; no one compares to you
I'll never let you go I'll never let you go
'Cause I really love you so
No I, I'll never let you go
No no, ooh...
Oh no, oh oh oh...
",
Ricky Martin,She's All I Ever Had,18,18.0,6.0,1999-09-06,,"Ballad,Adult Contemporary,Latin Pop,Latin Music,Pop","George noriega, Robi draco rosa, Jon secada","She's All I Ever Had 
Here I am
Broken wings
Quiet thoughts
Unspoken dreams
Here I am
Alone again
And I need her now
To hold my hand
She's all, she's all I ever had
She's the air I breathe
She's all, she's all I ever had
It's the way she makes me feel
It's the only thing that's real
It's the way she understands
She's my lover, she's my friend
And when I look into her eyes
It's the way I feel inside
Like the man I wanna be
She's all I'll ever need
So much time
So much pain
But there's one thing
That still remains
The the way she cared
The love we shared
And through it all
She's always been there
She's all, she's all I ever had
In a world so cold, so empty
She's all, she's all I ever had
It's the way she makes me feel
It's the only thing that's real
It's the way she understands
She's my lover, she's my friend
And when I look into her eyes
It's the way I feel inside
Like the man I wanna be
She's all I'll ever need
She's all, she's all I ever had
It's the way she makes me feel
It's the only thing that's real
It's the way she understands
She's my lover, she's my friend
And when I look into her eyes
It's the way I feel inside
Like the man I want to be
She's all I'll ever need
It's the way she makes me feel
It's the only thing that's real
It's the way she understands
She's my lover, she's my friend
And when I look into her eyes
It's the way I feel inside
Like the man I want to be
She's all I'll ever need
Here I am
",
98 Degrees,I Do,19,19.0,6.0,1999-09-06,,Pop,"Keith stegall, Dan hill","I Do Cherish You 
All I am, all I'll be
Everything in this world
All that I'll ever need
Is in your eyes
Shining at me
When you smile I can feel
All my passion unfolding
Your hand brushes mine
And a thousand sensations
Seduce me cause I
I do cherish you
For the rest of my life
You don't have to think twice
I will love you still
From the depths of my soul
It's beyond my control
I've waited so long to say this to you
If you're asking do I love you this much
I do
In my world before you
I lived outside my emotions
Didn't know where I was going
'Til that day i found you
How you opened my life
To a new paradise
In a world torn by change
Still with all my heart
'Til my dying day
I do cherish you
For the rest of my life
You don't have to think twice
I will love you still
From the depths of my soul
It's beyond my control
I've waited so long to say this to you
If you're asking do I love you this much
Yes, I do
I do
If you're asking do I love you this much
Baby, I do cherish you from the depths of my soul
It's beyond my control
I've waited so long to say this to you
If you're asking do I love you this much, baby I do
I do
",
Whitney Houston,My Love Is Your Love,16,16.0,4.0,1999-09-20,,"R&;B,Rock",,"My Love is Your Love Remix 
Yo Whitney and Wyclef
Turn this up you gonna feel it up
Yo if I became broke tomorrow
Would I still be your pharaoh?
Your ghetto Prince of Egypt
And if I got into a motorcycle accident and crashed
And became paraplegic
Yeah and if the feds rush the door
And find guns on the floor
And took us to federal court
Would you say they were yours?
If I had to do a bid
Would you take care of the kids?
And never let another nig in the crib
Keep the kitty licked, yeah
Kristina
If tomorrow is judgment day sing mommy
And I'm standing on the front line
And the Lord asks me what I did with my life
I will say, I spent it with you
If I wake up in World War Three
I see destruction and poverty
And I feel like I wanna go home
It's okay if you're coming with me
Your love is my love and my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us
If I lose my fame and fortune
It really don't matter
And I'm homeless on the streets
And I'm sleeping in Grand Central Station okay
It's okay if you're sleeping with me baby
As the years, they pass us by
We stay young through each other's eyes
Each other's eyes
And no matter how old we get, ooh
It's okay as long as I got you, baby, yeah, yeah, yeah
If I should die this very day
Don't cry cause on Earth
We wasn't meant to stay
And no matter what the people say
It really won't matter
I'll be waiting for you
After the judgment day
Now I lay me down to rest
I pray that life don't get you stressed
If you should cry, if you should break
I pray these streets don't take your life
Means more to me than that Rolley with the plat
Heard that? Believe that, I ain't letting none of that
Go down, when the feds come tell em none, they my guns
And if they see me in the streets and wanna take my dough
Take my clothes, for that price you can have my life
Y'all shouting Dyme, that's my name
Chicks spit fire, I'm putting out the flame
For life, wifee, mommy to baby girl
I wouldn't give it up for all the money in the world
Oh my time is up, bricks to Mt Vernon
Clef and All Star bring in Whitney Houston
Kristina
Collabo, All Star, East Side
Refugee Camp from the basement, West Side
Clap your hands
And it don't stop South Side
Clap your hands
And me, North Side
I said the record is not over yet
Clap your hands
",
Goo Goo Dolls,Black Balloon,18,18.0,12.0,1999-09-20,,Rock,John rzeznik,"Black Balloon 
Baby's black balloon makes her fly
I almost fell into that hole in your life
And you're not thinking about tomorrow
Cause you were the same as me
But on your knees
A thousand other boys could never reach you
How could I have been the one?
I saw the world spin beneath you
And scatter like ice from the spoon that was your womb
Coming down the world turned over
And angels fall without you there
And I go on as you get colder
Or are you someone's prayer?
You know the lies they always told you
And the love you never knew
What's the things they never showed you
That swallow the light from the sun inside your room, yeah
Coming down the world turned over
And angels fall without you there
And I go on as you get colder
Or are you someone's prayer?
And there's no time left for losing
When you stand they fall, yeah
Coming down the world turned over
And angels fall without you there
And I go on as you get colder
All because I'm
Coming down the year's turned over
And angels fall without you there
And I'll go on and I'll lead you home and
All because I'm
All because I'm
And I'll become
What you became to me
",
Deborah Cox With R.L.,We Can't Be Friends,15,15.0,4.0,1999-09-27,,Pop,"Montell jordan, Anthony shep crawford","We Can't Be Friends

RL
To just act like we never were
To come around and not show hurt
How dare we greet by shaking hands
Just months ago, I was your man, was your man
Verbaly we agreed it was over
And we were through
I'm trying to compose myself
But I just can't get over you, girl
We can't be friends
Yeah, no oh
We can't be friends
Deborah, you know I can't go on being just your friend, yeah
We can't be friends
Cuz I'm still in love with you
Deb
I went by mother's, saw your car there
To her you're still family
And it don't seem fair
For everyone to just go on
And I've tried and I can't do it
Cuz I'm still torn
I tried to think of you as just another love
In my past that didn't last
But it's not that simple, baby
We can't be friends
Oh no, no, no, no
We can't be friends
If we, if we can't be lovers
We can't be friends
Cuz I'm still in love
Both
You may see me staring
Or catch me in a daze
May see me hang my head
When you come my way
Don't get too close to me
And expect me to behave
RL  I might just steal a kiss
Both If you come near my face
What I'm trying to say
Repeat 1 while:
RL  We can't be friends
Deb  Can you look me in the eyes
And honestly say you dont love me?
RL  Said do you know
Deb  R.L I know
Both I'll never ever find another love like you, oh no
RL  I love you too much baby
Deb  I love you too much, oh
Both We can't be friends, I'm still in love
Deb  with you
RL  With you
Deb  I am
RL  Still in love
Deb  Still in love
Bothwith you
",
